"","ActualAgeBefore","ActualAge","mean05","sd05","mean50","sd50","mean95","sd95"
"1",0.01,0,0,0,6e-05,0,9e-05,3.00752824270251e-05
"2",0.01,0.01,0.00928285,0.000482217842617518,0.01000585,0.000505822656967348,0.0107657,0.000539011294760506
"3",0.01,0.02,0.0189566,0.000638676741317153,0.01997685,0.000644461192503642,0.02102485,0.000662780027099194
"4",0.01,0.03,0.0286635,0.000859173817246083,0.02990135,0.000861034598841423,0.0311702,0.000881459479539673
"5",0.01,0.04,0.0385865,0.000895768247801206,0.0400038,0.000906295990342312,0.041453,0.000942047913514373
"6",0.01,0.05,0.04839375,0.00105870805761375,0.049961,0.00106486840671422,0.0515632,0.00109599625865921
"7",0.01,0.06,0.05841575,0.00121561260586491,0.06012075,0.0012222727563661,0.0618534,0.00125341280442297
"8",0.01,0.07,0.0682482,0.00129003866561974,0.07006875,0.00130325720184883,0.07191595,0.0013412006536933
"9",0.01,0.08,0.07824985,0.0014128983993673,0.08017685,0.00141239935471025,0.08212645,0.00143629370098089
"10",0.01,0.09,0.08799335,0.00142639274352962,0.0900097,0.0014344490686857,0.09205145,0.00147122838550361
"11",0.01,0.1,0.0979488,0.0015128078190859,0.1000503,0.00151883945049564,0.1021742,0.0015539482409908
"12",0.02,0,0,0,6e-05,0,9e-05,3.00752824270251e-05
"13",0.02,0.01,0.00927515,0.000385902293854299,0.00999905,0.000399769528452829,0.0107576,0.000422709898501865
"14",0.02,0.02,0.0189744,0.000658830729131725,0.0199942,0.000656059777886744,0.02104455,0.000666064567093678
"15",0.02,0.03,0.0288228,0.000898624387018694,0.03006435,0.000910465438152571,0.0313371,0.000941101455608663
"16",0.02,0.04,0.0386209,0.000923930967205237,0.04003875,0.000919712614880241,0.0414882,0.000937512350337411
"17",0.02,0.05,0.0483901,0.000992007248919859,0.04995815,0.000980394278956714,0.05155865,0.000992939232327677
"18",0.02,0.06,0.05834745,0.00117796733089815,0.0600514,0.00118079354970934,0.06178215,0.00121133419424647
