"","percentageDetected","DivBefore","DivAfter"
"1",90,0.01,0
"2",89.388,0.01,0
"3",88.614,0.01,0
"4",89.828,0.01,0
"5",86.36,0.01,0
"6",89.776,0.01,0
"7",86.804,0.01,0
"8",88.28,0.01,0
"9",86.946,0.01,0
"10",90.438,0.01,0
"11",88.328,0.01,0
"12",88.48,0.01,0
"13",87.092,0.01,0
"14",89.244,0.01,0
"15",89.55,0.01,0
"16",87.284,0.01,0
"17",88.956,0.01,0
"18",87.436,0.01,0
"19",87.152,0.01,0
"20",87.708,0.01,0
"21",88.586,0.01,0
"22",87.84,0.01,0
"23",87.628,0.01,0
"24",87.59,0.01,0
"25",88.508,0.01,0
"26",87.92,0.01,0
"27",90.346,0.01,0
"28",86.976,0.01,0
"29",88.25,0.01,0
"30",86.782,0.01,0
"31",87.434,0.01,0
"32",88.27,0.01,0
"33",89.736,0.01,0
"34",86.996,0.01,0
"35",88.18,0.01,0
"36",88.456,0.01,0
"37",87.902,0.01,0
"38",89.932,0.01,0
"39",88.59,0.01,0
"40",88.63,0.01,0
"41",88.542,0.01,0
"42",89.322,0.01,0
"43",89.202,0.01,0
"44",88.006,0.01,0
"45",90.024,0.01,0
"46",87.898,0.01,0
"47",89.198,0.01,0
"48",89.148,0.01,0
"49",89.426,0.01,0
"50",87.404,0.01,0
"51",88.858,0.01,0
"52",89.07,0.01,0
"53",89.014,0.01,0
"54",89.04,0.01,0
"55",88.528,0.01,0
"56",88.328,0.01,0
"57",89.516,0.01,0
"58",85.142,0.01,0
"59",87.8,0.01,0
"60",87.24,0.01,0
"61",88.656,0.01,0
"62",88.626,0.01,0
"63",86.624,0.01,0
"64",88.732,0.01,0
"65",87.666,0.01,0
"66",86.172,0.01,0
"67",89.472,0.01,0
"68",87.94,0.01,0
"69",87.528,0.01,0
"70",88.914,0.01,0
"71",88.364,0.01,0
"72",86.024,0.01,0
"73",90.606,0.01,0
"74",88.42,0.01,0
"75",89.03,0.01,0
"76",88.242,0.01,0
"77",88.702,0.01,0
"78",88.568,0.01,0
"79",87.648,0.01,0
"80",87.318,0.01,0
"81",87.27,0.01,0
"82",87.734,0.01,0
"83",89.636,0.01,0
"84",88.762,0.01,0
"85",87.982,0.01,0
"86",88.562,0.01,0
"87",88.13,0.01,0
"88",87.52,0.01,0
"89",88.088,0.01,0
"90",86.244,0.01,0
"91",87.25,0.01,0
"92",89.536,0.01,0
"93",87.306,0.01,0
"94",89.574,0.01,0
"95",87.158,0.01,0
"96",87.448,0.01,0
"97",87.342,0.01,0
"98",89.206,0.01,0
"99",87.422,0.01,0
"100",88.292,0.01,0
"101",96.334,0.01,0.01
"102",96.838,0.01,0.01
"103",96.578,0.01,0.01
"104",96.582,0.01,0.01
"105",96.174,0.01,0.01
"106",95.146,0.01,0.01
"107",96.296,0.01,0.01
"108",95.794,0.01,0.01
"109",96.232,0.01,0.01
"110",94.926,0.01,0.01
"111",95.486,0.01,0.01
"112",95.032,0.01,0.01
"113",94.784,0.01,0.01
"114",95.538,0.01,0.01
"115",97.026,0.01,0.01
"116",95.886,0.01,0.01
"117",96.116,0.01,0.01
"118",95.482,0.01,0.01
"119",96.24,0.01,0.01
"120",97.546,0.01,0.01
"121",96.832,0.01,0.01
"122",94.866,0.01,0.01
"123",95.098,0.01,0.01
"124",97.506,0.01,0.01
"125",96.042,0.01,0.01
"126",95.684,0.01,0.01
"127",94.774,0.01,0.01
"128",96.41,0.01,0.01
"129",95.452,0.01,0.01
"130",94.158,0.01,0.01
"131",96.34,0.01,0.01
"132",96.484,0.01,0.01
"133",96.278,0.01,0.01
"134",95.718,0.01,0.01
"135",94.51,0.01,0.01
"136",95.698,0.01,0.01
"137",96,0.01,0.01
"138",96.42,0.01,0.01
"139",96.12,0.01,0.01
"140",96.564,0.01,0.01
"141",95.458,0.01,0.01
"142",96.384,0.01,0.01
"143",95.044,0.01,0.01
"144",95.67,0.01,0.01
"145",97.366,0.01,0.01
"146",96.318,0.01,0.01
"147",96.256,0.01,0.01
"148",95.942,0.01,0.01
"149",96.482,0.01,0.01
"150",97.476,0.01,0.01
"151",97.056,0.01,0.01
"152",96.358,0.01,0.01
"153",96.38,0.01,0.01
"154",96.646,0.01,0.01
"155",96.564,0.01,0.01
"156",95.722,0.01,0.01
"157",95.842,0.01,0.01
"158",96.258,0.01,0.01
"159",96.446,0.01,0.01
"160",96.794,0.01,0.01
"161",95.686,0.01,0.01
"162",96.188,0.01,0.01
"163",96.668,0.01,0.01
"164",96.91,0.01,0.01
"165",96.008,0.01,0.01
"166",97.67,0.01,0.01
"167",96.148,0.01,0.01
"168",96.536,0.01,0.01
"169",96.03,0.01,0.01
"170",95.6,0.01,0.01
"171",95.566,0.01,0.01
"172",97.588,0.01,0.01
"173",95.884,0.01,0.01
"174",94.164,0.01,0.01
"175",96.416,0.01,0.01
"176",95.57,0.01,0.01
"177",96.716,0.01,0.01
"178",95.408,0.01,0.01
"179",95.832,0.01,0.01
"180",96.236,0.01,0.01
"181",95.682,0.01,0.01
"182",96.578,0.01,0.01
"183",85.69,0.01,0.01
"184",95.72,0.01,0.01
"185",96.188,0.01,0.01
"186",95.258,0.01,0.01
"187",96.534,0.01,0.01
"188",96.78,0.01,0.01
"189",95.938,0.01,0.01
"190",95.406,0.01,0.01
"191",96.618,0.01,0.01
"192",95.758,0.01,0.01
"193",95.328,0.01,0.01
"194",96.264,0.01,0.01
"195",95.824,0.01,0.01
"196",95.456,0.01,0.01
"197",95.71,0.01,0.01
"198",94.734,0.01,0.01
"199",95.45,0.01,0.01
"200",96.232,0.01,0.01
"201",97.508,0.01,0.02
"202",41.606,0.01,0.02
"203",97.512,0.01,0.02
"204",97.36,0.01,0.02
"205",98.206,0.01,0.02
"206",62.878,0.01,0.02
"207",94.322,0.01,0.02
"208",97.578,0.01,0.02
"209",94.942,0.01,0.02
"210",97.844,0.01,0.02
"211",95.006,0.01,0.02
"212",94.442,0.01,0.02
"213",96.912,0.01,0.02
"214",97.402,0.01,0.02
"215",92.732,0.01,0.02
"216",87.876,0.01,0.02
"217",91.212,0.01,0.02
"218",95.458,0.01,0.02
"219",97.632,0.01,0.02
"220",97.228,0.01,0.02
"221",95.758,0.01,0.02
"222",99.02,0.01,0.02
"223",98.004,0.01,0.02
"224",73.672,0.01,0.02
"225",38.536,0.01,0.02
"226",97.648,0.01,0.02
"227",84.368,0.01,0.02
"228",84.06,0.01,0.02
"229",98.742,0.01,0.02
"230",96.37,0.01,0.02
"231",97.412,0.01,0.02
"232",96.058,0.01,0.02
"233",97.682,0.01,0.02
"234",96.748,0.01,0.02
"235",96.124,0.01,0.02
"236",96.938,0.01,0.02
"237",95.824,0.01,0.02
"238",96.434,0.01,0.02
"239",94.832,0.01,0.02
"240",96.298,0.01,0.02
"241",98.13,0.01,0.02
"242",70.25,0.01,0.02
"243",97.718,0.01,0.02
"244",91.386,0.01,0.02
"245",96.842,0.01,0.02
"246",96.746,0.01,0.02
"247",93.112,0.01,0.02
"248",97.23,0.01,0.02
"249",80.64,0.01,0.02
"250",95.174,0.01,0.02
"251",98.11,0.01,0.02
"252",97.208,0.01,0.02
"253",97.362,0.01,0.02
"254",86.254,0.01,0.02
"255",93.496,0.01,0.02
"256",96.502,0.01,0.02
"257",94.848,0.01,0.02
"258",96.386,0.01,0.02
"259",97.6,0.01,0.02
"260",86.928,0.01,0.02
"261",97.078,0.01,0.02
"262",96.82,0.01,0.02
"263",96.644,0.01,0.02
"264",97.494,0.01,0.02
"265",95.47,0.01,0.02
"266",91.81,0.01,0.02
"267",97.074,0.01,0.02
"268",97.204,0.01,0.02
"269",97.358,0.01,0.02
"270",97.094,0.01,0.02
"271",97.016,0.01,0.02
"272",98.178,0.01,0.02
"273",97.41,0.01,0.02
"274",97.282,0.01,0.02
"275",98.226,0.01,0.02
"276",95.952,0.01,0.02
"277",96.432,0.01,0.02
"278",95.986,0.01,0.02
"279",96.814,0.01,0.02
"280",90.546,0.01,0.02
"281",97.434,0.01,0.02
"282",95.672,0.01,0.02
"283",95.522,0.01,0.02
"284",95.416,0.01,0.02
"285",97.19,0.01,0.02
"286",69.346,0.01,0.02
"287",98.19,0.01,0.02
"288",79.094,0.01,0.02
"289",96.172,0.01,0.02
"290",92.96,0.01,0.02
"291",96.376,0.01,0.02
"292",97.004,0.01,0.02
